platform,review,rating,date,source
Cars24,"Hi! We sincerely apologize for any inconvenience caused. Kindly share your detailed concern by filling out this form (  https://i.ki.show/410826AF08  ), and we will assist you.",1,2026-06-30T21:48:42.000Z,Trustpilot
Cars24,Cars24 is fraud. I sold my car UP15XXXX09 in august 25 to cars 24 and they sold it to new owner in september 25. Even today when i called at CARS24 Customer Care they said car is not sold while i have already discussed with the new owner also. Noc has been issued from the RTO also. Now Cars24 registered seller is creating the issue and they are not transferring the car to the new owner. After multiple request they provied the number of car owner but to the new owner they asked that a call will come from xxx number and don't pick it up. That kind of scam cars24 is running. Everytime i submit i review i get the below response from cars24 to fill the details online. Even after filling the details they don't take any action.,,2026-07-01T08:35:20.000Z,Trustpilot
Cars24,Cars24 is worst.....Any repair means in one month no changes in spares parts....Any one buy in cars the cars 24 first think next go to buy....I am buying in car only 20days now ...I am asking battery complaint & wheelbareing no need change....so worst cars24,,2026-06-28T14:30:35.000Z,Trustpilot
Cars24,"Cars 24 is a bogus company. They initally show you very high prices on their app with promises that prices increase after inspection within the range. After inspection, the valuer would coerce you to buy the package to see the reports. And after the inspection, all the things perfect, the valuation is far far below the pre inspection assessment. Then you will get a call from representative to pay 1400 plus GST bucks to post an add where they will show a very much higher valuation saying dealer quoted less and they will match the buyer. But the portal says that offer is not equal to sale and there is no guarantee for sale. This bogus website says it charges no comission but deducted almost 20k bucks for insurance although the papers were clean, no strach and no accident case and would retain 25k bucks. Just dont go with them",,2026-06-28T12:30:54.000Z,Trustpilot
Cars24,"These Cars24 people are complete frauds and a scam. Do not do any deals with them. First, they will give you a higher price, then they will say that there are no customers, so we will lower the price, then they will lower it again, and then they lower it again. They will get all your documents and then they commit fraud.",,2026-06-28T10:46:42.000Z,Trustpilot
Cars24,"We have booked my car booking for inspection and wrong inspection done by inspector (wrong varient posted on page and  valuation done accordingly)7 month old Grand vitara delta verient 14 k km run and Car 24 valuation done 50% depression as my car consider 6 year old in place of 6 monthSecondWe convince for 3000 to pay for C2C plateform posting and we have done but no one picked my cal after payment submission.Last full day we try to reach customer care bit no response recd ,If I visit as a new customer than multiple calls and follow up startedVery poor service I have lost my 4000 for such type online Car 24 platformI suggest to all please donot take service from this platform",,2026-06-27T05:41:05.000Z,Trustpilot
Cars24,"I sold my car through CARS24, but it took almost 2.5 years to transfer the ownership. I raised multiple complaints and kept following up, but nothing happened. The issue was resolved only after I warned them that I would report the car as stolen to protect myself. The sale process was easy, but the ownership transfer was a very frustrating experience.A delay like this can put the seller at risk. If the car is used in an accident, crime, or any illegal activity before the ownership is transferred, you could end up facing unnecessary trouble. Make sure the ownership transfer is completed as soon as possible.",1,2026-06-26T09:11:03.000Z,Trustpilot
Cars24,"Worst experience with Car24. I would not recommend buying a car from them. The service was disappointing, and the overall experience did not meet expectations. Communication was poor, and the process was not as smooth as promised.Before purchasing any vehicle, make sure to thoroughly inspect it and verify all details yourself. In my experience, it would be better to spend your money elsewhere and explore other options.""Save your money and think twice before buying a car from Car24.""#Car24 #CustomerExperience #CarBuying #Review #DisappointedCustomer",1,2026-06-23T11:17:44.000Z,Trustpilot
Cars24,"Cars24 ne mujhe 'free car inspection' bolkar appointment book karvai. Inspection booking ke waqt maine valuation ke baare me pucha tha, lekin mujhe kaha gaya ki inspection ke baad hi pata chalega. Inspection complete hone ke baad mujhe paid plan lene ke liye bola gaya. Maine Lite plan liya aur ₹453 (GST included) pay kiye.Sabse badi problem ye hai ki payment lene ke baad bataya gaya ki meri car ki maximum bid value meri expected price se bahut hi kam rakhi jayegi. Agar ye baat pehle bata dete to main kabhi bhi paid plan nahi leta. Ab fee non-refundable hai, matlab ya to unki bahut kam valuation accept karo ya apne paise bhool jao.Mujhe ye process bilkul transparent nahi laga. Important information payment ke baad batana aur non-refundable fee rakhna customer ke liye unfair hai. Mera time aur paisa dono waste hua. Main dusre customers ko salah dunga ki koi bhi payment karne se pehle valuation range aur bidding conditions clear kar lein.""⭐ Very disappointing experience.",,2026-06-22T10:19:18.000Z,Trustpilot
Cars24,Never trust cars24 for selling or buying a car. The trust /the talks /the assurances they give are all before the deal….i sold sold a vehicle in Aug 2025 and it’s been 6-7 months I have been following up for RC transfer however there has been no confirmation and no timeline for transfer to be completed. Better to sell or buy through a trusted dealer or through your contacts. The very reason a person sells it through these companies to avoid hassles of paper work and ease of transfer is completely defeated.,,2026-06-21T15:46:32.000Z,Trustpilot
Cars24,Hi! Thank you for flagging this. We have looped in the concerned team to look into this on priority. We are aware that some customers have received challan notifications that may not reflect their actual vehicle status. We are currently investigating to understand the exact cause and will share an update shortly.,1,2026-06-20T11:23:42.000Z,Trustpilot
Cars24,"Hi Maulik! This is certainly not an experience we want you to have with us. Please share your contact details by filling out this form ( https://i.ki.show/4DBDEE277E ), and our team will promptly reach out to you. #Cars24Crew",,2026-06-16T10:14:43.000Z,Trustpilot
Cars24,"I purchased a used Honda City from Cars24 (KA05MR8098) with the expectation that the vehicle had been thoroughly inspected and was accurately represented on the platform.The vehicle was delivered to me on 3 June 2026. However, immediately after delivery and during my initial use of the vehicle, I discovered multiple issues that were serious enough for me to lose confidence in the condition of the car.Among the issues observed were abnormal vibrations while braking, concerns regarding the vehicle's overall mechanical condition, and other defects that were not apparent from the listing or communicated prior to delivery. Given the nature of these issues and the fact that I had received the vehicle only hours earlier, I immediately decided that I did not want to proceed with ownership of the car.Accordingly, I raised a return request on 4 June 2026, well within Cars24's return window. At the time the return request was raised, the RC transfer process had not yet been initiated.The vehicle was returned to the designated Cars24 Hub at Bhoruka Tech Park, Whitefield, Bangalore, on 5 June 2026. Cars24's team inspected the vehicle and confirmed that no issues were found during the return inspection. The return was accepted without dispute.Thereafter, Cars24 requested an acknowledgment from me regarding the return process and subsequently confirmed in writing that a refund amount of ₹5,07,165.23 was payable to me. I promptly provided the requested acknowledgment and completed every requirement from my side.What has been most disappointing is what happened next.Despite having possession of the vehicle, despite completing the inspection, despite confirming the refund amount, and despite repeated follow-up emails from my side, Cars24 has still not processed my refund. I have also received no meaningful communication from their finance team regarding the status of the payment.As of writing this review, more than 10 days have passed since the vehicle was returned and accepted by Cars24, yet the confirmed refund amount of ₹5,07,165.23 remains unpaid.I understand that operational delays can occur, but retaining a customer's money after accepting the vehicle back, completing inspection, and confirming the refund amount is unacceptable. The lack of communication has only made the experience more frustrating.I am posting this review in the hope that Cars24's management team takes notice and ensures that the refund already acknowledged by their own team is processed without any further delay.The vehicle has already been returned, inspected, and accepted by Cars24, and all requested acknowledgments have been provided from my side.There is therefore no reasonable justification for the continued delay in releasing the refund.If the refund is not processed promptly, I will be left with no option but to pursue the matter through appropriate legal and consumer protection channels for recovery of the amount and redressal of the inconvenience caused.I will update this review once the refund has been received.Meghansh Mundra8434028444",,2026-06-15T09:25:26.000Z,Trustpilot
Cars24,"Hi there! We regret any inconvenience caused. Kindly share your registered contact details via this form ( https://i.ki.show/7BCA5D3088 ), and we will update our DND list to ensure our calls and messages do not interrupt your day.",1,2026-06-14T09:22:19.000Z,Trustpilot
